Year (year),Report Period (quarter),State Name (state_name),Age Group (age_group),Gender (gender),Unemployment Rate (value),State Code (state_code)
"2022","October-December","Andhra Pradesh","15-29 Years","Female","32.3","28"
"2021","January-March","Delhi","15-29 Years","Male","19.5","07"
"2022","January-March","Gujarat","15 Years And Above","Female","6.6","24"
"2023","April-June","Punjab","All","Female","13.7","03"
"2022","April-June","Himachal Pradesh","15 Years And Above","Male","8.1","02"
"2021","October-December","West Bengal","15-29 Years","Male","18.1","19"
"2023","April-June","Chhattisgarh","All","Person","11.2","22"
"2020","October-December","Bihar","15-29 Years","Male","21.7","10"
"2019","October-December","Andhra Pradesh","15-29 Years","Female","38.4","28"
"2022","January-March","Assam","All","Person","9.9","18"
"2023","January-March","Telangana","15-29 Years","Male","23.6","36"
"2022","October-December","West Bengal","All","Person","4.3","19"
"2020","October-December","Maharashtra","All","Person","13.7","27"
"2019","January-March","Karnataka","All","Female","3.3","29"
"2019","October-December","Jharkhand","15 Years And Above","Male","8.1","20"
"2020","October-December","Chhattisgarh","All","Female","16.0","22"
"2022","January-March","Himachal Pradesh","15-29 Years","Male","22.9","02"
"2023","July-September","Gujarat","15-29 Years","Male","6.6","24"
"2022","October-December","Chhattisgarh","All","Female","12.9","22"
"2021","July-September","Uttar Pradesh","15-29 Years","Male","18.4","09"
"2022","October-December","Uttarakhand","All","Person","10.1","05"
"2018","July-September","Uttar Pradesh","15-29 Years","Female","31.6","09"
"2020","July-September","Uttarakhand","15-29 Years","Person","22.4","05"
"2021","April-June","Rajasthan","All","Person","16.5","08"
"2021","October-December","Jammu And Kashmir","All","Person","14.5","01"
"2023","April-June","Haryana","15 Years And Above","Female","8.4","06"
"2019","July-September","Madhya Pradesh","15 Years And Above","Male","12.5","23"
"2018","July-September","Bihar","15 Years And Above","Male","12.5","10"
"2021","October-December","Jharkhand","All","Male","9.6","20"
"2021","October-December","Maharashtra","15 Years And Above","Male","7.1","27"
"2022","October-December","Odisha","15 Years And Above","Female","9.5","21"
"2018","October-December","Chhattisgarh","All","Person","7.8","22"
"2018","July-September","Jammu And Kashmir","15 Years And Above","Male","6.9","01"
"2022","July-September","Chhattisgarh","All","Male","11.8","22"
"2022","July-September","Punjab","15-29 Years","Female","24.0","03"
"2022","October-December","Himachal Pradesh","15-29 Years","Person","25.3","02"
"2022","January-March","West Bengal","15 Years And Above","Female","4.7","19"
"2018","October-December","Jharkhand","15-29 Years","Female","30.5","20"
"2020","April-June","Bihar","All","Person","12.8","10"
"2020","July-September","Assam","15-29 Years","Male","24.7","18"
"2019","July-September","Jharkhand","15 Years And Above","Person","8.3","20"
"2022","April-June","Punjab","All","Female","10.4","03"
